"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-04","Canada","2016A000011124","Job vacancies","Number","223","units","0","v1481212145","1.1","439060","A","","","0"
"2015-04","Canada","2016A000011124","Payroll employees","Number","223","units","0","v1481212146","1.2","15081185","A","","","0"
"2015-04","Canada","2016A000011124","Job vacancy rate","Percentage","242","units","0","v1481212147","1.3","2.8","A","","","1"
"2015-04","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v1481212148","2.1","4550","C","","","0"
"2015-04","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v1481212149","2.2","211935","A","","","0"
"2015-04","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percentage","242","units","0","v1481212150","2.3","2.1","C","","","1"
"2015-04","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v1481212151","3.1","840","D","","","0"
"2015-04","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v1481212152","3.2","58000","A","","","0"
"2015-04","Prince Edward Island","2016A000211","Job vacancy rate","Percentage","242","units","0","v1481212153","3.3","1.4","D","","","1"
"2015-04","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v1481212154","4.1","12705","B","","","0"
"2015-04","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v1481212155","4.2","393230","A","","","0"
"2015-04","Nova Scotia","2016A000212","Job vacancy rate","Percentage","242","units","0","v1481212156","4.3","3.1","B","","","1"
"2015-04","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v1481212157","5.1","7380","B","","","0"
"2015-04","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v1481212158","5.2","287735","A","","","0"
"2015-04","New Brunswick","2016A000213","Job vacancy rate","Percentage","242","units","0","v1481212159","5.3","2.5","B","","","1"
"2015-04","Quebec","2016A000224","Job vacancies","Number","223","units","0","v1481212160","6.1","66315","A","","","0"
"2015-04","Quebec","2016A000224","Payroll employees","Number","223","units","0","v1481212161","6.2","3317220","A","","","0"
"2015-04","Quebec","2016A000224","Job vacancy rate","Percentage","242","units","0","v1481212162","6.3","2.0","A","","","1"
"2015-04","Ontario","2016A000235","Job vacancies","Number","223","units","0","v1481212163","7.1","177580","A","","","0"
"2015-04","Ontario","2016A000235","Payroll employees","Number","223","units","0","v1481212164","7.2","5763320","A","","","0"
"2015-04","Ontario","2016A000235","Job vacancy rate","Percentage","242","units","0","v1481212165","7.3","3.0","A","","","1"
"2015-04","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v1481212166","8.1","14300","B","","","0"
"2015-04","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v1481212167","8.2","550920","A","","","0"
"2015-04","Manitoba","2016A000246","Job vacancy rate","Percentage","242","units","0","v1481212168","8.3","2.5","B","","","1"
"2015-04","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v1481212169","9.1","","F","","","0"
"2015-04","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v1481212170","9.2","465830","A","","","0"
"2015-04","Saskatchewan","2016A000247","Job vacancy rate","Percentage","242","units","0","v1481212171","9.3","","F","","","1"
"2015-04","Alberta","2016A000248","Job vacancies","Number","223","units","0","v1481212172","10.1","","F","","","0"
"2015-04","Alberta","2016A000248","Payroll employees","Number","223","units","0","v1481212173","10.2","2017440","A","","","0"
"2015-04","Alberta","2016A000248","Job vacancy rate","Percentage","242","units","0","v1481212174","10.3","","F","","","1"
"2015-04","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1481212175","11.1","61470","B","","","0"
"2015-04","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1481212176","11.2","1966515","A","","","0"
"2015-04","British Columbia","2016A000259","Job vacancy rate","Percentage","242","units","0","v1481212177","11.3","3.0","B","","","1"
"2015-04","Yukon","2016A000260","Job vacancies","Number","223","units","0","v1481212178","12.1","590","D","","","0"
"2015-04","Yukon","2016A000260","Payroll employees","Number","223","units","0","v1481212179","12.2","16000","A","","","0"
"2015-04","Yukon","2016A000260","Job vacancy rate","Percentage","242","units","0","v1481212180","12.3","3.5","D","","","1"
"2015-04","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v1481212181","13.1","985","E","","","0"
"2015-04","Northwest Territories","2016A000261","Payroll employees","Number","223","units","0","v1481212182","13.2","22325","A","","","0"
"2015-04","Northwest Territories","2016A000261","Job vacancy rate","Percentage","242","units","0","v1481212183","13.3","4.2","D","","","1"
"2015-04","Nunavut","2016A000262","Job vacancies","Number","223","units","0","v1481212184","14.1","475","E","","","0"
"2015-04","Nunavut","2016A000262","Payroll employees","Number","223","units","0","v1481212185","14.2","10720","A","","","0"
"2015-04","Nunavut","2016A000262","Job vacancy rate","Percentage","242","units","0","v1481212186","14.3","4.3","D","","","1"
"2015-05","Canada","2016A000011124","Job vacancies","Number","223","units","0","v1481212145","1.1","404620","A","","","0"
"2015-05","Canada","2016A000011124","Payroll employees","Number","223","units","0","v1481212146","1.2","15123285","A","","","0"
"2015-05","Canada","2016A000011124","Job vacancy rate","Percentage","242","units","0","v1481212147","1.3","2.6","A","","","1"
"2015-05","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v1481212148","2.1","4690","C","","","0"
"2015-05","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v1481212149","2.2","203040","B","","","0"
"2015-05","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percentage","242","units","0","v1481212150","2.3","2.3","C","","","1"
"2015-05","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v1481212151","3.1","1055","E","","","0"
"2015-05","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v1481212152","3.2","58025","A","","","0"
"2015-05","Prince Edward Island","2016A000211","Job vacancy rate","Percentage","242","units","0","v1481212153","3.3","1.8","E","","","1"
"2015-05","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v1481212154","4.1","11095","C","","","0"
"2015-05","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v1481212155","4.2","395135","A","","","0"
"2015-05","Nova Scotia","2016A000212","Job vacancy rate","Percentage","242","units","0","v1481212156","4.3","2.7","C","","","1"
"2015-05","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v1481212157","5.1","10770","D","","","0"
"2015-05","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v1481212158","5.2","271005","A","","","0"
"2015-05","New Brunswick","2016A000213","Job vacancy rate","Percentage","242","units","0","v1481212159","5.3","3.8","D","","","1"
"2015-05","Quebec","2016A000224","Job vacancies","Number","223","units","0","v1481212160","6.1","57210","A","","","0"
"2015-05","Quebec","2016A000224","Payroll employees","Number","223","units","0","v1481212161","6.2","3349320","A","","","0"
"2015-05","Quebec","2016A000224","Job vacancy rate","Percentage","242","units","0","v1481212162","6.3","1.7","A","","","1"
"2015-05","Ontario","2016A000235","Job vacancies","Number","223","units","0","v1481212163","7.1","166055","A","","","0"
"2015-05","Ontario","2016A000235","Payroll employees","Number","223","units","0","v1481212164","7.2","5789500","A","","","0"
"2015-05","Ontario","2016A000235","Job vacancy rate","Percentage","242","units","0","v1481212165","7.3","2.8","A","","","1"
"2015-05","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v1481212166","8.1","13005","C","","","0"
"2015-05","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v1481212167","8.2","558635","A","","","0"
"2015-05","Manitoba","2016A000246","Job vacancy rate","Percentage","242","units","0","v1481212168","8.3","2.3","B","","","1"
"2015-05","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v1481212169","9.1","","F","","","0"
"2015-05","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v1481212170","9.2","475980","A","","","0"
"2015-05","Saskatchewan","2016A000247","Job vacancy rate","Percentage","242","units","0","v1481212171","9.3","","F","","","1"
"2015-05","Alberta","2016A000248","Job vacancies","Number","223","units","0","v1481212172","10.1","66235","E","","","0"
"2015-05","Alberta","2016A000248","Payroll employees","Number","223","units","0","v1481212173","10.2","1995695","A","","","0"
"2015-05","Alberta","2016A000248","Job vacancy rate","Percentage","242","units","0","v1481212174","10.3","3.2","E","","","1"
"2015-05","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1481212175","11.1","58560","B","","","0"
"2015-05","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1481212176","11.2","1977670","A","","","0"
"2015-05","British Columbia","2016A000259","Job vacancy rate","Percentage","242","units","0","v1481212177","11.3","2.9","B","","","1"
"2015-05","Yukon","2016A000260","Job vacancies","Number","223","units","0","v1481212178","12.1","595","E","","","0"
"2015-05","Yukon","2016A000260","Payroll employees","Number","223","units","0","v1481212179","12.2","16100","A","","","0"
"2015-05","Yukon","2016A000260","Job vacancy rate","Percentage","242","units","0","v1481212180","12.3","3.6","E","","","1"
"2015-05","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v1481212181","13.1","1295","E","","","0"
"2015-05","Northwest Territories","2016A000261","Payroll employees","Number","223","units","0","v1481212182","13.2","22335","A","","","0"
"2015-05","Northwest Territories","2016A000261","Job vacancy rate","Percentage","242","units","0","v1481212183","13.3","5.5","D","","","1"
"2015-05","Nunavut","2016A000262","Job vacancies","Number","223","units","0","v1481212184","14.1","345","D","","","0"
"2015-05","Nunavut","2016A000262","Payroll employees","Number","223","units","0","v1481212185","14.2","10845","A","","","0"
"2015-05","Nunavut","2016A000262","Job vacancy rate","Percentage","242","units","0","v1481212186","14.3","3.1","D","","","1"
"2015-06","Canada","2016A000011124","Job vacancies","Number","223","units","0","v1481212145","1.1","400840","A","","","0"
"2015-06","Canada","2016A000011124","Payroll employees","Number","223","units","0","v1481212146","1.2","15152905","A","","","0"
"2015-06","Canada","2016A000011124","Job vacancy rate","Percentage","242","units","0","v1481212147","1.3","2.6","A","","","1"
"2015-06","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v1481212148","2.1","4555","C","","","0"
"2015-06","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v1481212149","2.2","200075","A","","","0"
"2015-06","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percentage","242","units","0","v1481212150","2.3","2.2","C","","","1"
"2015-06","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v1481212151","3.1","1100","E","","","0"
"2015-06","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v1481212152","3.2","57930","C","","","0"
"2015-06","Prince Edward Island","2016A000211","Job vacancy rate","Percentage","242","units","0","v1481212153","3.3","1.9","E","","","1"
"2015-06","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v1481212154","4.1","7235","B","","","0"
"2015-06","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v1481212155","4.2","403345","A","","","0"
